Date,Description,Amount
29/12/2022,TRAINLINE.COM           LONDON,48.99
26/12/2022,UBER TRIP               SAN FRANCISCO,6.91
25/12/2022,GOOGLE*GOOGLE STORAGE   LONDON,1.59
24/12/2022,INTEREST CHARGE,2.03
18/12/2022,TRAINLINE.COM           LONDON,36.30
16/12/2022,GOOGLE*YOUTUBEPREMIUM   LONDON,11.99
15/12/2022,PAYMENT RECEIVED - THANK YOU,-104.38
05/12/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
28/11/2022,PAYMENT RECEIVED - THANK YOU,-300.00
25/11/2022,GOOGLE*GOOGLE STORAGE   LONDON,1.59
24/11/2022,INTEREST CHARGE,7.59
18/11/2022,READING BUSES           READING,2.20
18/11/2022,TRAINLINE.COM           LONDON,14.40
17/11/2022,READING BUSES           READING,4.30
17/11/2022,TRAINLINE.COM           LONDON,7.50
15/11/2022,READING BUSES           READING,4.30
15/11/2022,TRAINLINE.COM           LONDON,10.80
14/11/2022,READING BUSES           READING,4.30
13/11/2022,READING BUSES           READING,4.30
09/11/2022,PAYMENT RECEIVED - THANK YOU,-100.00
09/11/2022,READING BUSES           READING,4.30
09/11/2022,TRAINLINE.COM           LONDON,10.80
08/11/2022,READING BUSES           READING,4.30
08/11/2022,TRAINLINE.COM           LONDON,7.50
05/11/2022,READING BUSES           READING,4.30
05/11/2022,TRAINLINE.COM           LONDON,28.60
04/11/2022,READING BUSES           READING,4.30
03/11/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
02/11/2022,READING BUSES           READING,4.30
02/11/2022,TRAINLINE.COM           LONDON,10.80
30/10/2022,READING BUSES           READING,4.30
29/10/2022,READING BUSES           READING,4.30
29/10/2022,TRAINLINE.COM           LONDON,14.95
27/10/2022,READING BUSES           READING,4.30
27/10/2022,TRAINLINE.COM           LONDON,10.80
26/10/2022,GOOGLE*GOOGLE STORAGE   LONDON,1.59
26/10/2022,READING BUSES           READING,4.30
26/10/2022,TRAINLINE.COM           LONDON,10.80
25/10/2022,PAYMENT RECEIVED - THANK YOU,-300.00
24/10/2022,INTEREST CHARGE,36.30
22/10/2022,LINKEDIN                DUBLIN,15.00
21/10/2022,READING BUSES           READING,4.30
21/10/2022,TRAINLINE.COM           LONDON,14.95
20/10/2022,TRAINLINE.COM           LONDON,7.50
