Date,Description,Amount
18/10/2022,READING BUSES           READING,4.30
18/10/2022,TRAINLINE.COM           LONDON,7.50
16/10/2022,READING BUSES           READING,4.30
16/10/2022,TRAINLINE.COM           LONDON,14.95
14/10/2022,PAYMENT RECEIVED - THANK YOU,-700.00
14/10/2022,PAYMENT RECEIVED - THANK YOU,-80.00
13/10/2022,READING BUSES           READING,4.30
13/10/2022,TRAINLINE.COM           LONDON,10.80
08/10/2022,READING BUSES           READING,2.20
07/10/2022,READING BUSES           READING,2.20
07/10/2022,TRAINLINE.COM           LONDON,14.95
05/10/2022,J D WETHERSPOON PLC     WATFORD,5.00
05/10/2022,J D WETHERSPOON PLC     WATFORD,5.00
05/10/2022,J D WETHERSPOON PLC     WATFORD,5.00
05/10/2022,J D WETHERSPOON PLC     WATFORD,6.40
05/10/2022,J D WETHERSPOON PLC     WATFORD,6.78
05/10/2022,J D WETHERSPOON PLC     WATFORD,7.29
05/10/2022,READING BUSES           READING,4.30
04/10/2022,GWR READING SST         READING,12.00
04/10/2022,READING BUSES           READING,4.30
03/10/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
29/09/2022,READING BUSES           READING,4.30
29/09/2022,TRAINLINE.COM           LONDON,10.80
28/09/2022,READING BUSES           READING,4.30
28/09/2022,TRAINLINE.COM           LONDON,10.80
27/09/2022,READING BUSES           READING,4.30
27/09/2022,TRAINLINE.COM           LONDON,10.80
26/09/2022,APPLE.COM/BILL          HOLLYHILL,1.79
26/09/2022,READING BUSES           READING,4.30
26/09/2022,TRAINLINE.COM           LONDON,10.80
25/09/2022,HTEMPESTGRADECOM HTEMPE NA,35.00
24/09/2022,READING BUSES           READING,4.30
21/09/2022,READING BUSES           READING,4.30
21/09/2022,TRAINLINE.COM           LONDON,14.95
17/09/2022,READING BUSES           READING,2.20
17/09/2022,TRAINLINE.COM           LONDON,21.10
16/09/2022,READING BUSES           READING,4.30
16/09/2022,TRAINLINE.COM           LONDON,14.05
15/09/2022,J D WETHERSPOON PLC     WATFORD,3.02
15/09/2022,READING BUSES           READING,4.30
15/09/2022,TRAINLINE.COM           LONDON,10.80
14/09/2022,READING BUSES           READING,4.30
14/09/2022,TRAINLINE.COM           LONDON,14.95
11/09/2022,CINEWORLD               BRENTFORD,22.49
11/09/2022,READING BUSES           READING,2.20
11/09/2022,TRAINLINE.COM           LONDON,14.90
10/09/2022,READING BUSES           READING,2.20
10/09/2022,READING BUSES           READING,2.20
10/09/2022,TRAINLINE.COM           LONDON,14.90
09/09/2022,READING BUSES           READING,2.20
09/09/2022,TRAINLINE.COM           LONDON,4.85
09/09/2022,WLY*COMPLETESAVE.CO.UK  NYON,-15.00
08/09/2022,TRAINLINE.COM           LONDON,7.50
08/09/2022,WLY*COMPLETESAVE.CO.UK  NYON,15.00
07/09/2022,TRAINLINE.COM           LONDON,10.80
05/09/2022,READING BUSES           READING,4.30
05/09/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
03/09/2022,READING BUSES           READING,4.00
03/09/2022,TRAINLINE.COM           LONDON,9.00
30/08/2022,TRAINLINE.COM           LONDON,7.10
28/08/2022,READING BUSES           READING,4.00
28/08/2022,TRAINLINE.COM           LONDON,14.95
27/08/2022,TRIP.COM                INTERNET,846.70
26/08/2022,APPLE.COM/BILL          HOLLYHILL,1.79
26/08/2022,PAYMENT RECEIVED - THANK YOU,-40.00
23/08/2022,TRAINLINE.COM           LONDON,7.10
20/08/2022,TRAINLINE.COM           LONDON,13.95
19/08/2022,APCOA PARKING UK LTD    UXBRIDGE,5.00
19/08/2022,J D WETHERSPOON PLC     WATFORD,3.45
17/08/2022,TRAINLINE.COM           LONDON,7.10
16/08/2022,TRAINLINE.COM           LONDON,7.10
14/08/2022,PAYMENT RECEIVED - THANK YOU,-78.12
08/08/2022,AMZNMKTPLACE            AMAZON.CO.UK,13.98
08/08/2022,PAYMENT RECEIVED - THANK YOU,-150.00
05/08/2022,PAYMENT RECEIVED - THANK YOU,-161.16
04/08/2022,MADAME TUSSAUDS LONDON  LONDON,210.00
03/08/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
26/07/2022,APPLE.COM/BILL          HOLLYHILL,1.79
25/07/2022,PAYMENT RECEIVED - THANK YOU,-300.00
15/07/2022,UBER TRIP               SAN FRANCISCO,2.00
15/07/2022,UBER TRIP               SAN FRANCISCO,29.56
14/07/2022,PAYMENT RECEIVED - THANK YOU,-500.00
04/07/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
01/07/2022,PAYMENT RECEIVED - THANK YOU,-1000.00
29/06/2022,EMIRATES WWW.EXPEDIA.CO UNITED KINGDOM,509.40
29/06/2022,EMIRATES WWW.EXPEDIA.CO UNITED KINGDOM,509.40
29/06/2022,QATAR AIRWAYS WWW.EXPED UNITED KINGDOM,451.26
29/06/2022,QATAR AIRWAYS WWW.EXPED UNITED KINGDOM,451.26
26/06/2022,APPLE.COM/BILL          HOLLYHILL,1.79
15/06/2022,PAYMENT RECEIVED - THANK YOU,-334.39
03/06/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
26/05/2022,APPLE.COM/BILL          HOLLYHILL,1.79
24/05/2022,INTEREST CHARGE,11.79
22/05/2022,PAYMENT RECEIVED - THANK YOU,-480.00
10/05/2022,UKVI UKVI               LONDON,107.52
10/05/2022,UKVI UKVI               LONDON,107.52
03/05/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
01/05/2022,UBER EATS               SAN FRANCISCO,13.74
29/04/2022,ASDA STORES             FELTHAM,18.33
29/04/2022,DAYFRESH                LONDON,5.50
29/04/2022,PAYMENT RECEIVED - THANK YOU,-200.00
29/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.40
28/04/2022,DAYFRESH                LONDON,5.50
28/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.40
27/04/2022,ASDA STORES             FELTHAM,3.99
27/04/2022,CO-OP - CHISWICK HIGH R LONDON,2.50
27/04/2022,DAYFRESH                LONDON,5.50
27/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.20
26/04/2022,APPLE.COM/BILL          HOLLYHILL,1.79
26/04/2022,DAYFRESH                LONDON,5.50
26/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
25/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.80
25/04/2022,CO-OP - CHISWICK HIGH R LONDON,6.79
25/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
24/04/2022,INTEREST CHARGE,12.19
23/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.00
22/04/2022,DAYFRESH                LONDON,5.50
22/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.35
21/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
20/04/2022,CO-OP - CHISWICK HIGH R LONDON,6.79
20/04/2022,DAYFRESH                LONDON,5.50
20/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
19/04/2022,AMZNMKTPLACE            AMAZON.CO.UK,17.99
19/04/2022,DAYFRESH                LONDON,5.50
19/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
18/04/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.87
18/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00
15/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.65
15/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00
14/04/2022,MCDONALD'S - BROMPTON R LONDON,5.05
14/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,14.10
12/04/2022,CO-OP - CHISWICK HIGH R LONDON,4.60
12/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.40
11/04/2022,PAYMENT RECEIVED - THANK YOU,-200.00
11/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.60
10/04/2022,HOTEL ON BOOKING.COM    AMSTERDAM,90.00
10/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70
07/04/2022,CO-OP - CHISWICK HIGH R LONDON,3.45
07/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
06/04/2022,APPLE.COM/BILL          HOLLYHILL,4.49
06/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.75
05/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.65
05/04/2022,DAYFRESH                LONDON,5.50
05/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
04/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.66
04/04/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98
04/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.40
04/04/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
03/04/2022,PAYMENT RECEIVED - THANK YOU,-300.00
03/04/2022,TSHIRT STUDIO           SWINDON,15.00
02/04/2022,ASDA STORES             FELTHAM,7.19
02/04/2022,UBER EATS               SAN FRANCISCO,12.99
01/04/2022,ASDA STORES             FELTHAM,6.58
01/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.95
01/04/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.87
01/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
01/04/2022,TRAINLINE.COM           LONDON,73.20
31/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
31/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
30/03/2022,ASDA STORES             FELTHAM,8.22
30/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.70
30/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
29/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.40
29/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
28/03/2022,APPLE.COM/BILL          HOLLYHILL,29.99
28/03/2022,ASDA STORES             FELTHAM,4.59
28/03/2022,DAYFRESH                LONDON,6.45
28/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
26/03/2022,APPLE.COM/BILL          HOLLYHILL,1.79
26/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.87
26/03/2022,UBER EATS               SAN FRANCISCO,12.28
25/03/2022,ASDA STORES             FELTHAM,12.40
25/03/2022,CO-OP - CHISWICK HIGH R LONDON,4.75
25/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
24/03/2022,ASDA STORES             FELTHAM,20.43
24/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.70
24/03/2022,HYDERABAD EXPRESS LTD   Feltham,3.50
24/03/2022,INTEREST CHARGE,12.33
24/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
23/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.77
23/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.05
22/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
22/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
21/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
21/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
20/03/2022,DOMINOS FELTHAM         FELTHAM,4.00
20/03/2022,LIDL LON FELTHAM 0058   FELTHAM,0.20
20/03/2022,LIDL LON FELTHAM 0058   FELTHAM,5.07
19/03/2022,"H&M BEXLEYHEATH GB725   BEXLEYHEATH, KE",22.18
19/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.88
19/03/2022,MCDONALDS               WELLING,3.58
19/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
18/03/2022,ASDA STORES             FELTHAM,11.40
18/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.75
18/03/2022,DAYFRESH                LONDON,5.50
18/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.90
17/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.55
17/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
16/03/2022,CO-OP - CHISWICK HIGH R LONDON,2.35
16/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.50
15/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.35
15/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
14/03/2022,ASDA STORES             FELTHAM,6.80
14/03/2022,DAYFRESH                LONDON,6.45
14/03/2022,PAYMENT RECEIVED - THANK YOU,-200.00
14/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
13/03/2022,ASDA STORES             FELTHAM,6.99
13/03/2022,ASDA STORES             FELTHAM,21.51
13/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.77
13/03/2022,SPECSAVERS OPTICIANS    FELTHAM,99.00
12/03/2022,DELIVEROO               LONDON,6.87
11/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
11/03/2022,MCDONALDS               LONDON,5.27
11/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,14.10
10/03/2022,CO-OP - CHISWICK HIGH R LONDON,4.50
10/03/2022,CO-OP - CHISWICK HIGH R LONDON,11.30
10/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
09/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
09/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.88
09/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
08/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.75
08/03/2022,DAYFRESH                LONDON,5.50
08/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.88
08/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
07/03/2022,ASDA STORES             FELTHAM,7.09
07/03/2022,CO-OP - CHISWICK HIGH R LONDON,2.75
07/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
06/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.55
05/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.05
04/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
04/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
04/03/2022,TRAINLINE.COM           LONDON,21.00
04/03/2022,UBER EATS               SAN FRANCISCO,2.32
03/03/2022,ASDA STORES             FELTHAM,4.00
03/03/2022,ASDA STORES             FELTHAM,11.00
03/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.75
03/03/2022,DAYFRESH                LONDON,5.50
03/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99
03/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.40
02/03/2022,DAYFRESH                LONDON,6.45
02/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.00
02/03/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
01/03/2022,ASDA STORES             FELTHAM,10.50
01/03/2022,CO-OP - CHISWICK HIGH R LONDON,4.36
01/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85
28/02/2022,CO-OP - CHISWICK HIGH R LONDON,2.75
28/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99
28/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.00
26/02/2022,PAYMENT RECEIVED - THANK YOU,-250.00
26/02/2022,PRIMARK HOUNSLOW        HOUNSLOW,9.00
26/02/2022,SPORTS DIRECT  HOUNSLOW HOUNSLOW,25.09
26/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
25/02/2022,ASDA STORES             FELTHAM,5.35
25/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
25/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55
24/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.65
24/02/2022,DAYFRESH                LONDON,5.50
24/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55
24/02/2022,UBER EATS               SAN FRANCISCO,5.29
23/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.31
23/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,0.99
23/02/2022,MCDONALDS NORTH END FUL LONDON,3.88
23/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.00
22/02/2022,ASDA STORES             FELTHAM,13.47
22/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.65
22/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55
21/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.70
21/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55
19/02/2022,MCDONALD'S - BRENT PARK LONDON,1.98
19/02/2022,MCDONALD'S - BRENT PARK LONDON,1.98
19/02/2022,MCDONALD'S - BRENT PARK LONDON,6.17
19/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.50
19/02/2022,UBER EATS               SAN FRANCISCO,1.00
19/02/2022,UBER EATS               SAN FRANCISCO,6.94
18/02/2022,ASDA STORES             FELTHAM,5.35
18/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75
18/02/2022,CO-OP - CHISWICK HIGH R LONDON,10.00
18/02/2022,DAYFRESH                LONDON,6.50
18/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.80
17/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75
17/02/2022,DAYFRESH                LONDON,5.50
17/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.00
16/02/2022,ASDA STORES             FELTHAM,29.00
16/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.75
16/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.00
15/02/2022,ASDA STORES             FELTHAM,5.46
15/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75
15/02/2022,DAYFRESH                LONDON,5.50
15/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.00
14/02/2022,CO-OP - CHISWICK HIGH R LONDON,11.75
14/02/2022,DAYFRESH                LONDON,5.50
14/02/2022,PAYMENT RECEIVED - THANK YOU,-150.00
14/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.00
13/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
12/02/2022,UBER EATS               SAN FRANCISCO,3.98
11/02/2022,ASDA STORES             FELTHAM,2.75
11/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75
11/02/2022,DAYFRESH                LONDON,6.50
11/02/2022,J D WETHERSPOON PLC     WATFORD,4.35
11/02/2022,J D WETHERSPOON PLC     WATFORD,6.98
11/02/2022,PAYMENT RECEIVED - THANK YOU,-164.09
11/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.90
10/02/2022,CO-OP - CHISWICK HIGH R LONDON,13.11
10/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.00
10/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.00
09/02/2022,ASDA STORES             FELTHAM,9.75
09/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,6.46
09/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,7.06
09/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.45
09/02/2022,TK MAXX                 HOUNSLOW,73.16
08/02/2022,ASDA STORES             FELTHAM,7.40
08/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98
07/02/2022,ASDA STORES             FELTHAM,5.75
07/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.96
07/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.50
06/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.00
05/02/2022,AMZNMKTPLACE            AMAZON.CO.UK,15.19
05/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55
04/02/2022,ASDA STORES             FELTHAM,6.90
04/02/2022,TESCO STORE 3484 3484TE LONDON,3.70
04/02/2022,TESCO STORE 3484 3484TE LONDON,11.09
04/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.00
03/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00
03/02/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
02/02/2022,MCDONALDS               LONDON,7.15
02/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.60
01/02/2022,ASDA STORES             FELTHAM,5.70
29/01/2022,MCDONALDS HIGH HOLBORN  LONDON,7.86
29/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.50
28/01/2022,ASDA STORES             FELTHAM,8.99
28/01/2022,ASDA STORES             FELTHAM,13.98
28/01/2022,ASDA STORES             FELTHAM,18.99
27/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99
27/01/2022,SPECSAVERS OPTICIANS    FELTHAM,34.00
25/01/2022,ASDA STORES             FELTHAM,9.95
25/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,7.37
25/01/2022,MCDONALDS STRAND        LONDON,1.98
25/01/2022,MCDONALDS STRAND        LONDON,3.18
25/01/2022,TESCO STORE 3482 3482TE LONDON,0.20
25/01/2022,TESCO STORE 3482 3482TE LONDON,5.50
25/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.60
20/01/2022,ASDA STORES             FELTHAM,4.00
19/01/2022,ASDA STORES             FELTHAM,14.91
19/01/2022,PAYMENT RECEIVED - THANK YOU,-100.00
19/01/2022,SPECSAVERS OPTICIANS    FELTHAM,35.00
18/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.55
17/01/2022,ASDA STORES             FELTHAM,15.66
15/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.80
11/01/2022,J D WETHERSPOON PLC     WATFORD,2.99
11/01/2022,MCDONALDS HIGH HOLBORN  LONDON,5.16
11/01/2022,PAYMENT RECEIVED - THANK YOU,-165.34
11/01/2022,TESCO STORE 2532 2532TE FELTHAM,9.64
11/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.60
10/01/2022,MCDONALD'S GREENWICH -  LONDON,2.98
10/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.60
09/01/2022,ASDA STORES             FELTHAM,2.56
08/01/2022,ASDA STORES             FELTHAM,1.99
08/01/2022,COSTA HEATHROW T5 ARRIV HOUNSLOW,2.95
08/01/2022,HUTCHISON 3G RIUT4      GLASGOW,10.00
08/01/2022,TESCO STORE 2532 2532TE FELTHAM,5.24
08/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.50
08/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
08/01/2022,THE KIOSK               HOUNSLOW,2.60
06/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99
06/01/2022,WWW.A1COVIDTESTING.COM  NORWICH,45.00
05/01/2022,ASDA STORES             FELTHAM,9.68
05/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99
04/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98
03/01/2022,ASDA STORES             FELTHAM,3.30
03/01/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
02/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.87
