Date,Description,Amount,Location,Retail
05/10/2022,J D WETHERSPOON PLC     WATFORD,5.0,Watford,Wetherspoon
05/10/2022,J D WETHERSPOON PLC     WATFORD,5.0,Watford,Wetherspoon
05/10/2022,J D WETHERSPOON PLC     WATFORD,6.4,Watford,Wetherspoon
05/10/2022,J D WETHERSPOON PLC     WATFORD,6.78,Watford,Wetherspoon
05/10/2022,J D WETHERSPOON PLC     WATFORD,7.29,Watford,Wetherspoon
05/10/2022,READING BUSES           READING,4.3,Reading,Reading Buses
04/10/2022,LIDL READING 0270       READING,3.58,Reading,Lidl
04/10/2022,GWR READING SST         READING,12.0,Reading,Other
04/10/2022,READING BUSES           READING,4.3,Reading,Reading Buses
03/10/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
29/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
29/09/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
28/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
28/09/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
27/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
27/09/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
26/09/2022,APPLE.COM/BILL          HOLLYHILL,1.79,UK,Apple
26/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
26/09/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
25/09/2022,HTEMPESTGRADECOM HTEMPE NA,35.0,UK,Other
24/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
21/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.75,UK,Tfl
21/09/2022,TRAINLINE.COM           LONDON,14.95,London,Trainline
21/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
19/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.5,UK,Tfl
18/09/2022,SAINSBURY'S SUPERMARKET MANCHESTER,6.5,Manchester,Sainsbury'S
17/09/2022,READING BUSES           READING,2.2,Reading,Reading Buses
17/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.5,UK,Tfl
17/09/2022,TRAINLINE.COM           LONDON,21.1,London,Trainline
16/09/2022,MARKS AND SPENCER PADDI LONDON,1.05,London,Marks And Spencer
16/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
16/09/2022,TRAINLINE.COM           LONDON,14.05,London,Trainline
15/09/2022,J D WETHERSPOON PLC     WATFORD,3.02,Watford,Wetherspoon
15/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
15/09/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
14/09/2022,SAINSBURY'S SPRMRKTS LT LONDON,1.2,London,Sainsbury'S
14/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
14/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.5,UK,Tfl
14/09/2022,TRAINLINE.COM           LONDON,14.95,London,Trainline
11/09/2022,MCDONALDS               WELLING,1.88,Welling,Other
11/09/2022,READING BUSES           READING,2.2,Reading,Reading Buses
11/09/2022,SP WS GROOMER           BURGESS HILL,5.0,Burgess Hill,Other
11/09/2022,TRAINLINE.COM           LONDON,14.9,London,Trainline
