Date,Description,Amount,Location,Retail
12/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.3,UK,Tfl
11/05/2022,MCDONALDS               WELLING,1.98,Welling,Other
11/05/2022,STONEHENGE              AMESBURY,44.4,Amesbury,Other
11/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.9,UK,Tfl
10/05/2022,UKVI UKVI               LONDON,107.52,London,Other
10/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.35,UK,Tfl
10/05/2022,UKVI UKVI               LONDON,107.52,London,Other
09/05/2022,DAVE PADMORE-MCDONALDS( EASTBOURNE,5.27,Eastbourne,Other
09/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.6,UK,Tfl
09/05/2022,ASDA STORES             FELTHAM,2.83,Feltham,Asda
08/05/2022,ASDA STORES             FELTHAM,12.75,Feltham,Asda
08/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.3,UK,Tfl
07/05/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.98,Feltham,Mcdonald'S
07/05/2022,MCDONALDS               WELLING,4.27,Welling,Other
07/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
06/05/2022,ASDA STORES             FELTHAM,4.2,Feltham,Asda
06/05/2022,ASDA STORES             FELTHAM,2.49,Feltham,Asda
06/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
05/05/2022,ASDA STORES             FELTHAM,16.51,Feltham,Asda
04/05/2022,ASDA STORES             FELTHAM,1.2,Feltham,Asda
04/05/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.28,Feltham,Mcdonald'S
04/05/2022,MOMOMIALONDON LTD       London,6.95,London,Other
04/05/2022,PRIMARK HOUNSLOW        HOUNSLOW,10.0,UK,Primark
04/05/2022,TESCO STORE 6014 6014TE HOUNSLOW,7.59,UK,Tesco
04/05/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.3,UK,Tfl
03/05/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
02/05/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
02/05/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.97,Feltham,Mcdonald'S
01/05/2022,UBER EATS               SAN FRANCISCO,13.74,UK,Uber
29/04/2022,ASDA STORES             FELTHAM,18.33,Feltham,Asda
29/04/2022,ASDA STORES             FELTHAM,4.49,Feltham,Asda
29/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
29/04/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
29/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.4,UK,Tfl
28/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
28/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.4,UK,Tfl
27/04/2022,ASDA STORES             FELTHAM,3.99,Feltham,Asda
27/04/2022,CO-OP - CHISWICK HIGH R LONDON,2.5,Chiswick,Co-Op
27/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
27/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.2,UK,Tfl
26/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
26/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
26/04/2022,APPLE.COM/BILL          HOLLYHILL,1.79,UK,Apple
25/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.8,Chiswick,Co-Op
25/04/2022,CO-OP - CHISWICK HIGH R LONDON,6.79,Chiswick,Co-Op
25/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
24/04/2022,INTEREST CHARGE,12.19,UK,Other
23/04/2022,MCDONALDS               WELLING,2.68,Welling,Other
23/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.0,UK,Tfl
22/04/2022,ASDA STORES             FELTHAM,10.1,Feltham,Asda
22/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
22/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.35,UK,Tfl
21/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
21/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
20/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
20/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
20/04/2022,CO-OP - CHISWICK HIGH R LONDON,6.79,Chiswick,Co-Op
19/04/2022,AMZNMKTPLACE            AMAZON.CO.UK,17.99,UK,Amznmktplace
19/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
19/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
18/04/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.87,Feltham,Mcdonald'S
18/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.0,UK,Tfl
17/04/2022,SAINSBURY'S SUPERMARKET GLASGOW,3.75,Glasgow,Sainsbury'S
17/04/2022,SUMUP*THE LADY AND THE  EDINBURGH,17.2,Edinburgh,Other
16/04/2022,WHYNOT NIGHTCLUB        EDINBURGH,24.5,Edinburgh,Other
16/04/2022,WHISKY AND WINE 2 17 NO EDINBURGH,9.99,Edinburgh,Other
16/04/2022,NAMASTE KATHMANDU       EDINBURGH,39.8,Edinburgh,Other
16/04/2022,"LUMO. TRAVEL WELL, BEYO Newcastle-upon-",9.15,Well,Other
16/04/2022,3CPAYMENT*PRET A MANGER LONDON,15.3,London,Pret
15/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.65,UK,Tfl
15/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.0,UK,Tfl
14/04/2022,ASDA STORES             FELTHAM,3.2,Feltham,Asda
14/04/2022,MCDONALD'S - BROMPTON R LONDON,5.05,Brompton,Mcdonald'S
14/04/2022,ASDA STORES             FELTHAM,5.34,Feltham,Asda
14/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,14.1,UK,Tfl
12/04/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
12/04/2022,CO-OP - CHISWICK HIGH R LONDON,4.6,Chiswick,Co-Op
12/04/2022,ASDA STORES             FELTHAM,10.75,Feltham,Asda
12/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.4,UK,Tfl
12/04/2022,MCDONALD'S FELTHAM      FELTHAM      ,7.06,Feltham,Mcdonald'S
11/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.6,UK,Tfl
11/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.65,UK,Tfl
11/04/2022,DAYFRESH                LONDON,6.89,London,Dayfresh
10/04/2022,HOTEL ON BOOKING.COM    AMSTERDAM,90.0,UK,Other
10/04/2022,ASDA STORES             FELTHAM,4.7,Feltham,Asda
10/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.7,UK,Tfl
08/04/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
08/04/2022,UBER EATS               SAN FRANCISCO,5.98,UK,Uber
07/04/2022,CO-OP - CHISWICK HIGH R LONDON,3.45,Chiswick,Co-Op
07/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
06/04/2022,ASDA STORES             FELTHAM,23.19,Feltham,Asda
06/04/2022,APPLE.COM/BILL          HOLLYHILL,4.49,UK,Apple
06/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.75,UK,Tfl
06/04/2022,TALK360 - TALK360 GROUP LEUSDEN,5.0,UK,Other
05/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.65,Chiswick,Co-Op
05/04/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
05/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
04/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.4,UK,Tfl
04/04/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
04/04/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
04/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.66,Chiswick,Co-Op
03/04/2022,IHS169516352PA02 2022-0 IMM HEALTH SURC,1248.0,UK,Other
03/04/2022,TSHIRT STUDIO           SWINDON,15.0,Swindon,Other
02/04/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
02/04/2022,ASDA STORES             FELTHAM,7.19,Feltham,Asda
02/04/2022,UBER EATS               SAN FRANCISCO,12.99,UK,Uber
01/04/2022,ASDA STORES             FELTHAM,6.58,Feltham,Asda
01/04/2022,CO-OP - CHISWICK HIGH R LONDON,1.95,Chiswick,Co-Op
01/04/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.87,Feltham,Mcdonald'S
01/04/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
01/04/2022,TRAINLINE.COM           LONDON,73.2,London,Trainline
31/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
31/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
30/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.7,Chiswick,Co-Op
30/03/2022,ASDA STORES             FELTHAM,8.22,Feltham,Asda
30/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
29/03/2022,LIDL LON FELTHAM 0058   FELTHAM,21.65,Feltham,Lidl
29/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
29/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.4,Chiswick,Co-Op
28/03/2022,APPLE.COM/BILL          HOLLYHILL,29.99,UK,Apple
28/03/2022,ASDA STORES             FELTHAM,4.59,Feltham,Asda
28/03/2022,DAYFRESH                LONDON,6.45,London,Dayfresh
28/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
26/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.2,UK,Tfl
26/03/2022,APPLE.COM/BILL          HOLLYHILL,1.79,UK,Apple
26/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.87,Feltham,Mcdonald'S
26/03/2022,UBER EATS               SAN FRANCISCO,12.28,UK,Uber
25/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
25/03/2022,ASDA STORES             FELTHAM,12.4,Feltham,Asda
25/03/2022,CO-OP - CHISWICK HIGH R LONDON,4.75,Chiswick,Co-Op
25/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
24/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
24/03/2022,INTEREST CHARGE,12.33,UK,Other
24/03/2022,HYDERABAD EXPRESS LTD   Feltham,3.5,Feltham,Other
24/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.7,Chiswick,Co-Op
24/03/2022,ASDA STORES             FELTHAM,20.43,Feltham,Asda
23/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.77,Feltham,Mcdonald'S
23/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.05,UK,Tfl
22/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
22/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
21/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
21/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
20/03/2022,DOMINOS FELTHAM         FELTHAM,4.0,Feltham,Other
20/03/2022,LIDL LON FELTHAM 0058   FELTHAM,0.2,Feltham,Lidl
20/03/2022,LIDL LON FELTHAM 0058   FELTHAM,5.07,Feltham,Lidl
19/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
19/03/2022,MCDONALDS               WELLING,3.58,Welling,Other
19/03/2022,"H&M BEXLEYHEATH GB725   BEXLEYHEATH, KE",22.18,Bexleyheath,Other
19/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.88,Feltham,Mcdonald'S
18/03/2022,ASDA STORES             FELTHAM,11.4,Feltham,Asda
18/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.75,Chiswick,Co-Op
18/03/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
18/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.9,UK,Tfl
17/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.55,Chiswick,Co-Op
17/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
16/03/2022,CO-OP - CHISWICK HIGH R LONDON,2.35,Chiswick,Co-Op
16/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.5,UK,Tfl
15/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
15/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.35,Chiswick,Co-Op
14/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
14/03/2022,ASDA STORES             FELTHAM,6.8,Feltham,Asda
14/03/2022,DAYFRESH                LONDON,6.45,London,Dayfresh
13/03/2022,ASDA STORES             FELTHAM,6.99,Feltham,Asda
13/03/2022,ASDA STORES             FELTHAM,21.51,Feltham,Asda
13/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.77,Feltham,Mcdonald'S
13/03/2022,SPECSAVERS OPTICIANS    FELTHAM,99.0,Feltham,Specsavers
12/03/2022,DELIVEROO               LONDON,6.87,London,Deliveroo
11/03/2022,MCDONALDS               LONDON,5.27,London,Other
11/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,14.1,UK,Tfl
11/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
10/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
10/03/2022,CO-OP - CHISWICK HIGH R LONDON,4.5,Chiswick,Co-Op
10/03/2022,CO-OP - CHISWICK HIGH R LONDON,11.3,Chiswick,Co-Op
09/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
09/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.88,Feltham,Mcdonald'S
09/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
08/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.75,Chiswick,Co-Op
08/03/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
08/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.88,Feltham,Mcdonald'S
08/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
07/03/2022,ASDA STORES             FELTHAM,7.09,Feltham,Asda
07/03/2022,CO-OP - CHISWICK HIGH R LONDON,2.75,Chiswick,Co-Op
07/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
06/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.55,UK,Tfl
05/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.05,UK,Tfl
04/03/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
04/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
04/03/2022,TRAINLINE.COM           LONDON,21.0,London,Trainline
04/03/2022,UBER EATS               SAN FRANCISCO,2.32,UK,Uber
03/03/2022,ASDA STORES             FELTHAM,4.0,Feltham,Asda
03/03/2022,ASDA STORES             FELTHAM,11.0,Feltham,Asda
03/03/2022,CO-OP - CHISWICK HIGH R LONDON,1.75,Chiswick,Co-Op
03/03/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
03/03/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
03/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.4,UK,Tfl
02/03/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
02/03/2022,DAYFRESH                LONDON,6.45,London,Dayfresh
02/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.0,UK,Tfl
01/03/2022,ASDA STORES             FELTHAM,10.5,Feltham,Asda
01/03/2022,CO-OP - CHISWICK HIGH R LONDON,4.36,Chiswick,Co-Op
01/03/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.85,UK,Tfl
28/02/2022,CO-OP - CHISWICK HIGH R LONDON,2.75,Chiswick,Co-Op
28/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
28/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.0,UK,Tfl
26/02/2022,SPORTS DIRECT  HOUNSLOW HOUNSLOW,25.09,UK,Sports Direct
26/02/2022,PRIMARK HOUNSLOW        HOUNSLOW,9.0,UK,Primark
26/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
25/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55,UK,Tfl
25/02/2022,ASDA STORES             FELTHAM,5.35,Feltham,Asda
25/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
24/02/2022,UBER EATS               SAN FRANCISCO,5.29,UK,Uber
24/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.65,Chiswick,Co-Op
24/02/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
24/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55,UK,Tfl
23/02/2022,MCDONALDS NORTH END FUL LONDON,3.88,London,Other
23/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.0,UK,Tfl
23/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.31,Chiswick,Co-Op
23/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,0.99,Feltham,Mcdonald'S
22/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.65,Chiswick,Co-Op
22/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55,UK,Tfl
22/02/2022,ASDA STORES             FELTHAM,13.47,Feltham,Asda
21/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.55,UK,Tfl
21/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.7,Chiswick,Co-Op
19/02/2022,MCDONALD'S - BRENT PARK LONDON,1.98,London,Mcdonald'S
19/02/2022,MCDONALD'S - BRENT PARK LONDON,1.98,London,Mcdonald'S
19/02/2022,MCDONALD'S - BRENT PARK LONDON,6.17,London,Mcdonald'S
19/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.5,UK,Tfl
19/02/2022,UBER EATS               SAN FRANCISCO,1.0,UK,Uber
19/02/2022,UBER EATS               SAN FRANCISCO,6.94,UK,Uber
18/02/2022,DAYFRESH                LONDON,6.5,London,Dayfresh
18/02/2022,CO-OP - CHISWICK HIGH R LONDON,10.0,Chiswick,Co-Op
18/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.8,UK,Tfl
18/02/2022,ASDA STORES             FELTHAM,5.35,Feltham,Asda
18/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75,Chiswick,Co-Op
17/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75,Chiswick,Co-Op
17/02/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
17/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.0,UK,Tfl
16/02/2022,ASDA STORES             FELTHAM,29.0,Feltham,Asda
16/02/2022,CO-OP - CHISWICK HIGH R LONDON,3.75,Chiswick,Co-Op
16/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.0,UK,Tfl
15/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.0,UK,Tfl
15/02/2022,ASDA STORES             FELTHAM,5.46,Feltham,Asda
15/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75,Chiswick,Co-Op
15/02/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
14/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.0,UK,Tfl
14/02/2022,CO-OP - CHISWICK HIGH R LONDON,11.75,Chiswick,Co-Op
14/02/2022,DAYFRESH                LONDON,5.5,London,Dayfresh
13/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
12/02/2022,UBER EATS               SAN FRANCISCO,3.98,UK,Uber
11/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.9,UK,Tfl
11/02/2022,ASDA STORES             FELTHAM,2.75,Feltham,Asda
11/02/2022,CO-OP - CHISWICK HIGH R LONDON,1.75,Chiswick,Co-Op
11/02/2022,DAYFRESH                LONDON,6.5,London,Dayfresh
11/02/2022,J D WETHERSPOON PLC     WATFORD,4.35,Watford,Wetherspoon
11/02/2022,J D WETHERSPOON PLC     WATFORD,6.98,Watford,Wetherspoon
10/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.0,UK,Tfl
10/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.0,UK,Tfl
10/02/2022,CO-OP - CHISWICK HIGH R LONDON,13.11,Chiswick,Co-Op
09/02/2022,ASDA STORES             FELTHAM,9.75,Feltham,Asda
09/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,6.46,Feltham,Mcdonald'S
09/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,7.06,Feltham,Mcdonald'S
09/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.45,UK,Tfl
09/02/2022,TK MAXX                 HOUNSLOW,73.16,UK,Tk Maxx
08/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
08/02/2022,ASDA STORES             FELTHAM,7.4,Feltham,Asda
07/02/2022,MCDONALD'S FELTHAM      FELTHAM      ,4.96,Feltham,Mcdonald'S
07/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.5,UK,Tfl
07/02/2022,ASDA STORES             FELTHAM,5.75,Feltham,Asda
06/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.0,UK,Tfl
05/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55,UK,Tfl
05/02/2022,AMZNMKTPLACE            AMAZON.CO.UK,15.19,UK,Amznmktplace
04/02/2022,ASDA STORES             FELTHAM,6.9,Feltham,Asda
04/02/2022,TESCO STORE 3484 3484TE LONDON,3.7,London,Tesco
04/02/2022,TESCO STORE 3484 3484TE LONDON,11.09,London,Tesco
04/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.0,UK,Tfl
03/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.0,UK,Tfl
03/02/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
02/02/2022,MCDONALDS               LONDON,7.15,London,Other
02/02/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.6,UK,Tfl
01/02/2022,ASDA STORES             FELTHAM,5.7,Feltham,Asda
29/01/2022,MCDONALDS HIGH HOLBORN  LONDON,7.86,Holborn,Other
29/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.5,UK,Tfl
28/01/2022,ASDA STORES             FELTHAM,18.99,Feltham,Asda
28/01/2022,ASDA STORES             FELTHAM,8.99,Feltham,Asda
28/01/2022,ASDA STORES             FELTHAM,13.98,Feltham,Asda
27/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
27/01/2022,SPECSAVERS OPTICIANS    FELTHAM,34.0,Feltham,Specsavers
25/01/2022,ASDA STORES             FELTHAM,9.95,Feltham,Asda
25/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,7.37,Feltham,Mcdonald'S
25/01/2022,MCDONALDS STRAND        LONDON,1.98,London,Other
25/01/2022,MCDONALDS STRAND        LONDON,3.18,London,Other
25/01/2022,TESCO STORE 3482 3482TE LONDON,0.2,London,Tesco
25/01/2022,TESCO STORE 3482 3482TE LONDON,5.5,London,Tesco
25/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.6,UK,Tfl
20/01/2022,ASDA STORES             FELTHAM,4.0,Feltham,Asda
19/01/2022,SPECSAVERS OPTICIANS    FELTHAM,35.0,Feltham,Specsavers
19/01/2022,ASDA STORES             FELTHAM,14.91,Feltham,Asda
18/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.55,UK,Tfl
17/01/2022,ASDA STORES             FELTHAM,15.66,Feltham,Asda
15/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.8,UK,Tfl
11/01/2022,J D WETHERSPOON PLC     WATFORD,2.99,Watford,Wetherspoon
11/01/2022,MCDONALDS HIGH HOLBORN  LONDON,5.16,Holborn,Other
11/01/2022,TESCO STORE 2532 2532TE FELTHAM,9.64,Feltham,Tesco
11/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.6,UK,Tfl
10/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.6,UK,Tfl
10/01/2022,MCDONALD'S GREENWICH -  LONDON,2.98,Greenwich,Mcdonald'S
09/01/2022,ASDA STORES             FELTHAM,2.56,Feltham,Asda
08/01/2022,ASDA STORES             FELTHAM,1.99,Feltham,Asda
08/01/2022,COSTA HEATHROW T5 ARRIV HOUNSLOW,2.95,Heathrow,Costa
08/01/2022,HUTCHISON 3G RIUT4      GLASGOW,10.0,Glasgow,Hutchison
08/01/2022,TESCO STORE 2532 2532TE FELTHAM,5.24,Feltham,Tesco
08/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.5,UK,Tfl
08/01/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
08/01/2022,THE KIOSK               HOUNSLOW,2.6,UK,Other
06/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
06/01/2022,WWW.A1COVIDTESTING.COM  NORWICH,45.0,Norwich,Other
05/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
05/01/2022,ASDA STORES             FELTHAM,9.68,Feltham,Asda
04/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
03/01/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
03/01/2022,ASDA STORES             FELTHAM,3.3,Feltham,Asda
02/01/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.87,Feltham,Mcdonald'S
30/12/2021,ASDA STORES             FELTHAM,13.26,Feltham,Asda
29/12/2021,TESCO STORE 2532 2532TE FELTHAM,1.81,Feltham,Tesco
29/12/2021,TESCO STORE 2532 2532TE FELTHAM,16.84,Feltham,Tesco
25/12/2021,IZ *GNDJ LIMITED        FELTHAM,5.19,Feltham,Other
23/12/2021,IZ *LITTLE KATHMANDU    EDGWARE,5.0,Edgware,Other
23/12/2021,MCDONALDS HIGH HOLBORN  LONDON,3.97,Holborn,Other
23/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.65,UK,Tfl
22/12/2021,ASDA STORES             FELTHAM,3.5,Feltham,Asda
